Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
04-ene-2017,Tablets,Ene. 2017,Miércoles,Cantabria,Shopping - General,24,1,"0,00","0,01 €","4,17 %","0,00","0,01 €","0,42 €","0,01 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-may-2017,Móviles,May. 2017,Domingo,Comunidad de Madrid,Shopping - General,4.019,88,"1,00","6,29 €","2,19 %","0,00","0,07 €","1,57 €","0,07 €","6,29 €","1,14 %","6,36","39,98","39,98"
13-feb-2017,Tablets,Feb. 2017,Lunes,Región de Murcia,Shopping - General,117,2,"0,00","0,10 €","1,71 %","0,00","0,05 €","0,85 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-may-2017,Móviles,May. 2017,Martes,Islas Baleares,Shopping - General,596,10,"0,00","1,10 €","1,68 %","0,00","0,11 €","1,85 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-mar-2017,Tablets,Mar. 2017,Domingo,Castilla y León,Shopping - General,126,7,"0,00","0,57 €","5,56 %","0,00","0,08 €","4,52 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-ene-2017,Ordenadores,Ene. 2017,Martes,Cataluña,Shopping - General,2.830,49,"2,00","5,25 €","1,73 %","0,00","0,11 €","1,86 €","0,11 €","2,62 €","4,08 %","27,13","142,44","71,22"
14-abr-2017,Tablets,Abr. 2017,Viernes,Castilla y León,Shopping - General,181,2,"0,00","0,10 €","1,10 %","0,00","0,05 €","0,55 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-may-2017,Tablets,May. 2017,Miércoles,La Rioja,Shopping - General,26,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-ene-2017,Ordenadores,Ene. 2017,Jueves,Islas Baleares,Shopping - General,324,4,"0,00","0,47 €","1,23 %","0,00","0,12 €","1,45 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-may-2017,Ordenadores,May. 2017,Martes,Galicia,Shopping - General,230,7,"0,00","0,41 €","3,04 %","0,00","0,06 €","1,78 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-jun-2017,Móviles,Jun. 2017,Domingo,Islas Baleares,Shopping - General,959,12,"0,00","1,35 €","1,25 %","0,00","0,11 €","1,41 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-abr-2017,Móviles,Abr. 2017,Jueves,Cataluña,Shopping - General,3.378,78,"1,00","6,20 €","2,31 %","0,00","0,08 €","1,84 €","0,08 €","6,20 €","1,28 %","6,45","39,98","39,98"
20-jun-2017,Móviles,Jun. 2017,Martes,Aragón,Shopping - General,906,26,"1,00","1,88 €","2,87 %","0,00","0,07 €","2,08 €","0,07 €","1,88 €","3,85 %","80,30","150,97","150,97"
03-ene-2017,Tablets,Ene. 2017,Martes,Comunidad Valenciana,Shopping - General,4.649,79,"0,00","11,22 €","1,70 %","0,00","0,14 €","2,41 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-ene-2017,Tablets,Ene. 2017,Martes,Cantabria,Shopping - General,73,1,"0,00","0,07 €","1,37 %","0,00","0,07 €","0,96 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-abr-2017,Tablets,Abr. 2017,Viernes,Comunidad de Madrid,Shopping - General,630,14,"1,00","1,14 €","2,22 %","0,00","0,08 €","1,81 €","0,08 €","1,14 €","7,14 %","22,79","25,98","25,98"
