Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
26-ene-2017,Móviles,Ene. 2017,Jueves,Galicia,Shopping - General,1.063,18,"0,00","1,76 €","1,69 %","0,00","0,10 €","1,66 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-may-2017,Ordenadores,May. 2017,Viernes,Comunidad Valenciana,Shopping - General,2.345,45,"0,00","4,39 €","1,92 %","0,00","0,10 €","1,87 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-feb-2017,Ordenadores,Feb. 2017,Miércoles,La Rioja,Shopping - General,149,2,"0,00","0,23 €","1,34 %","0,00","0,12 €","1,54 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-feb-2017,Ordenadores,Feb. 2017,Miércoles,Navarra,Shopping - General,297,2,"1,00","0,29 €","0,67 %","0,00","0,14 €","0,98 €","0,14 €","0,29 €","50,00 %","203,24","58,94","58,94"
04-jun-2017,Móviles,Jun. 2017,Domingo,Andalucía,Shopping - General,6.539,176,"1,00","13,94 €","2,69 %","0,00","0,08 €","2,13 €","0,08 €","13,94 €","0,57 %","5,74","79,95","79,95"
06-mar-2017,Tablets,Mar. 2017,Lunes,Comunidad de Madrid,Shopping - General,713,13,"0,00","0,86 €","1,82 %","0,00","0,07 €","1,21 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-jun-2017,Ordenadores,Jun. 2017,Viernes,Comunidad Valenciana,Shopping - General,2.041,44,"0,00","5,16 €","2,16 %","0,00","0,12 €","2,53 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-may-2017,Ordenadores,May. 2017,Viernes,Cantabria,Shopping - General,300,7,"0,00","1,01 €","2,33 %","0,00","0,14 €","3,37 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-mar-2017,Tablets,Mar. 2017,Lunes,País Vasco,Shopping - General,108,2,"0,00","0,05 €","1,85 %","0,00","0,02 €","0,46 €","0,02 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-abr-2017,Tablets,Abr. 2017,Domingo,Extremadura,Shopping - General,123,2,"0,00","0,37 €","1,63 %","0,00","0,18 €","3,01 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-may-2017,Móviles,May. 2017,Miércoles,Galicia,Shopping - General,599,17,"0,00","0,67 €","2,84 %","0,00","0,04 €","1,12 €","0,04 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-mar-2017,Móviles,Mar. 2017,Lunes,Región de Murcia,Shopping - General,32,3,"0,00","0,04 €","9,38 %","0,00","0,01 €","1,25 €","0,01 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-jun-2017,Ordenadores,Jun. 2017,Miércoles,Extremadura,Shopping - General,363,7,"0,00","0,42 €","1,93 %","0,00","0,06 €","1,16 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-jun-2017,Móviles,Jun. 2017,Sábado,La Rioja,Shopping - General,273,9,"0,00","0,72 €","3,30 %","0,00","0,08 €","2,64 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-ene-2017,Móviles,Ene. 2017,Viernes,País Vasco,Shopping - General,908,24,"0,00","2,51 €","2,64 %","0,00","0,10 €","2,76 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-may-2017,Móviles,May. 2017,Viernes,Galicia,Shopping - General,4.242,94,"0,00","13,50 €","2,22 %","0,00","0,14 €","3,18 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-feb-2017,Móviles,Feb. 2017,Martes,Castilla-La Mancha,Shopping - General,529,17,"0,00","0,83 €","3,21 %","0,00","0,05 €","1,57 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-jun-2017,Tablets,Jun. 2017,Viernes,Islas Baleares,Shopping - General,168,1,"0,00","0,11 €","0,60 %","0,00","0,11 €","0,65 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-ene-2017,Tablets,Ene. 2017,Lunes,La Rioja,Shopping - General,97,1,"0,00","0,09 €","1,03 %","0,00","0,09 €","0,93 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-mar-2017,Móviles,Mar. 2017,Jueves,Principado de Asturias,Shopping - General,346,5,"0,00","0,38 €","1,45 %","0,00","0,08 €","1,10 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-abr-2017,Ordenadores,Abr. 2017,Domingo,Navarra,Shopping - General,141,2,"0,00","0,21 €","1,42 %","0,00","0,10 €","1,49 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-jun-2017,Tablets,Jun. 2017,Sábado,Castilla y León,Shopping - General,279,6,"0,00","0,59 €","2,15 %","0,00","0,10 €","2,11 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-ene-2017,Ordenadores,Ene. 2017,Lunes,Andalucía,Shopping - General,3.854,53,"3,00","5,39 €","1,38 %","0,00","0,10 €","1,40 €","0,10 €","1,80 €","5,66 %","17,77","95,80","31,93"
24-may-2017,Tablets,May. 2017,Miércoles,Comunidad Valenciana,Shopping - General,458,5,"0,00","0,41 €","1,09 %","0,00","0,08 €","0,90 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-may-2017,Ordenadores,May. 2017,Viernes,Aragón,Shopping - General,828,19,"0,00","2,40 €","2,29 %","0,00","0,13 €","2,90 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-jun-2017,Tablets,Jun. 2017,Lunes,Principado de Asturias,Shopping - General,105,2,"0,00","0,22 €","1,90 %","0,00","0,11 €","2,10 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-ene-2017,Móviles,Ene. 2017,Lunes,Sin especificar,Shopping - General,320,7,"0,00","0,92 €","2,19 %","0,00","0,13 €","2,88 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-jul-2017,Tablets,Jul. 2017,Domingo,País Vasco,Shopping - General,342,2,"0,00","0,08 €","0,58 %","0,00","0,04 €","0,23 €","0,04 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-mar-2017,Ordenadores,Mar. 2017,Lunes,Cantabria,Shopping - General,73,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-jul-2017,Ordenadores,Jul. 2017,Jueves,Sin especificar,Shopping - General,2,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-abr-2017,Tablets,Abr. 2017,Domingo,Andalucía,Shopping - General,501,8,"0,00","0,61 €","1,60 %","0,00","0,08 €","1,22 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-jul-2017,Móviles,Jul. 2017,Martes,Sin especificar,Shopping - General,45,1,"0,00","0,13 €","2,22 %","0,00","0,13 €","2,89 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-ene-2017,Móviles,Ene. 2017,Martes,Castilla y León,Shopping - General,1.664,38,"0,00","2,77 €","2,28 %","0,00","0,07 €","1,66 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-mar-2017,Ordenadores,Mar. 2017,Lunes,Andalucía,Shopping - General,1.575,28,"0,00","2,35 €","1,78 %","0,00","0,08 €","1,49 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-may-2017,Tablets,May. 2017,Lunes,Región de Murcia,Shopping - General,82,3,"0,00","0,14 €","3,66 %","0,00","0,05 €","1,71 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-abr-2017,Ordenadores,Abr. 2017,Martes,Islas Baleares,Shopping - General,253,4,"0,00","0,56 €","1,58 %","0,00","0,14 €","2,21 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
17-may-2017,Tablets,May. 2017,Miércoles,Extremadura,Shopping - General,234,4,"0,00","0,37 €","1,71 %","0,00","0,09 €","1,58 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-may-2017,Tablets,May. 2017,Sábado,Aragón,Shopping - General,85,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-jun-2017,Ordenadores,Jun. 2017,Viernes,Cantabria,Shopping - General,243,2,"0,00","0,20 €","0,82 %","0,00","0,10 €","0,82 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-may-2017,Móviles,May. 2017,Martes,Aragón,Shopping - General,651,19,"0,00","1,54 €","2,92 %","0,00","0,08 €","2,37 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-ene-2017,Móviles,Ene. 2017,Lunes,La Rioja,Shopping - General,169,4,"0,00","0,06 €","2,37 %","0,00","0,02 €","0,36 €","0,02 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-abr-2017,Tablets,Abr. 2017,Viernes,Galicia,Shopping - General,209,5,"0,00","0,53 €","2,39 %","0,00","0,11 €","2,54 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-feb-2017,Ordenadores,Feb. 2017,Domingo,Cantabria,Shopping - General,231,3,"0,00","0,29 €","1,30 %","0,00","0,10 €","1,26 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-abr-2017,Tablets,Abr. 2017,Miércoles,País Vasco,Shopping - General,200,2,"0,00","0,20 €","1,00 %","0,00","0,10 €","1,00 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-abr-2017,Tablets,Abr. 2017,Domingo,Comunidad Valenciana,Shopping - General,277,3,"0,00","0,09 €","1,08 %","0,00","0,03 €","0,32 €","0,03 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-abr-2017,Tablets,Abr. 2017,Sábado,Región de Murcia,Shopping - General,65,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-abr-2017,Móviles,Abr. 2017,Viernes,La Rioja,Shopping - General,157,3,"0,00","0,17 €","1,91 %","0,00","0,06 €","1,08 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-feb-2017,Tablets,Feb. 2017,Jueves,Navarra,Shopping - General,40,2,"0,00","0,13 €","5,00 %","0,00","0,06 €","3,25 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-jul-2017,Móviles,Jul. 2017,Miércoles,Región de Murcia,Shopping - General,2.686,58,"1,00","3,34 €","2,16 %","0,00","0,06 €","1,24 €","0,06 €","3,34 €","1,72 %","31,70","105,88","105,88"
29-abr-2017,Móviles,Abr. 2017,Sábado,Galicia,Shopping - General,1.876,29,"0,00","2,21 €","1,55 %","0,00","0,08 €","1,18 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-mar-2017,Tablets,Mar. 2017,Sábado,Principado de Asturias,Shopping - General,70,3,"0,00","0,29 €","4,29 %","0,00","0,10 €","4,14 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-jul-2017,Móviles,Jul. 2017,Martes,Comunidad Valenciana,Shopping - General,4.523,135,"0,00","6,27 €","2,98 %","0,00","0,05 €","1,39 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-mar-2017,Móviles,Mar. 2017,Jueves,La Rioja,Shopping - General,79,4,"0,00","0,35 €","5,06 %","0,00","0,09 €","4,43 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-may-2017,Tablets,May. 2017,Jueves,Extremadura,Shopping - General,66,4,"0,00","0,42 €","6,06 %","0,00","0,10 €","6,36 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-feb-2017,Móviles,Feb. 2017,Martes,Castilla y León,Shopping - General,1.049,23,"0,00","1,53 €","2,19 %","0,00","0,07 €","1,46 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-ene-2017,Ordenadores,Ene. 2017,Lunes,Sin especificar,Shopping - General,0,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-feb-2017,Tablets,Feb. 2017,Sábado,Sin especificar,Shopping - General,1,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-feb-2017,Tablets,Feb. 2017,Viernes,Navarra,Shopping - General,40,2,"0,00","0,18 €","5,00 %","0,00","0,09 €","4,50 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-ene-2017,Tablets,Ene. 2017,Jueves,Cantabria,Shopping - General,89,2,"0,00","0,21 €","2,25 %","0,00","0,10 €","2,36 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-jun-2017,Móviles,Jun. 2017,Sábado,Principado de Asturias,Shopping - General,976,27,"0,00","2,53 €","2,77 %","0,00","0,09 €","2,59 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-mar-2017,Tablets,Mar. 2017,Lunes,Navarra,Shopping - General,42,1,"0,00","0,02 €","2,38 %","0,00","0,02 €","0,48 €","0,02 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-abr-2017,Móviles,Abr. 2017,Miércoles,Andalucía,Shopping - General,6.014,153,"1,00","12,20 €","2,54 %","0,00","0,08 €","2,03 €","0,08 €","12,20 €","0,65 %","11,31","137,98","137,98"
18-ene-2017,Móviles,Ene. 2017,Miércoles,La Rioja,Shopping - General,80,2,"0,00","0,05 €","2,50 %","0,00","0,02 €","0,62 €","0,02 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-abr-2017,Ordenadores,Abr. 2017,Sábado,Andalucía,Shopping - General,2.189,30,"1,00","3,94 €","1,37 %","0,00","0,13 €","1,80 €","0,13 €","3,94 €","3,33 %","3,55","13,99","13,99"
12-ene-2017,Móviles,Ene. 2017,Jueves,País Vasco,Shopping - General,865,11,"0,00","0,83 €","1,27 %","0,00","0,08 €","0,96 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-abr-2017,Móviles,Abr. 2017,Domingo,País Vasco,Shopping - General,1.287,30,"0,00","2,40 €","2,33 %","0,00","0,08 €","1,86 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-ene-2017,Móviles,Ene. 2017,Jueves,Comunidad de Madrid,Shopping - General,12.181,347,"3,00","30,18 €","2,85 %","0,00","0,09 €","2,48 €","0,09 €","10,06 €","0,86 %","12,84","387,39","129,13"
13-abr-2017,Móviles,Abr. 2017,Jueves,Comunidad Valenciana,Shopping - General,1.122,16,"1,00","0,47 €","1,43 %","0,00","0,03 €","0,42 €","0,03 €","0,47 €","6,25 %","31,79","14,94","14,94"
18-abr-2017,Tablets,Abr. 2017,Martes,Navarra,Shopping - General,36,1,"0,00","0,04 €","2,78 %","0,00","0,04 €","1,11 €","0,04 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-may-2017,Ordenadores,May. 2017,Viernes,La Rioja,Shopping - General,198,2,"0,00","0,30 €","1,01 %","0,00","0,15 €","1,52 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-may-2017,Móviles,May. 2017,Sábado,Extremadura,Shopping - General,641,14,"0,00","0,76 €","2,18 %","0,00","0,05 €","1,19 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-feb-2017,Ordenadores,Feb. 2017,Miércoles,Andalucía,Shopping - General,2.714,36,"0,00","3,73 €","1,33 %","0,00","0,10 €","1,37 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-mar-2017,Móviles,Mar. 2017,Jueves,Galicia,Shopping - General,1.205,38,"4,00","2,91 €","3,15 %","0,00","0,08 €","2,41 €","0,08 €","0,73 €","10,53 %","52,87","153,85","38,46"
12-mar-2017,Tablets,Mar. 2017,Domingo,Galicia,Shopping - General,80,1,"1,00","0,08 €","1,25 %","0,00","0,08 €","1,00 €","0,08 €","0,08 €","100,00 %","174,88","13,99","13,99"
19-mar-2017,Tablets,Mar. 2017,Domingo,Extremadura,Shopping - General,68,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-jun-2017,Móviles,Jun. 2017,Lunes,Castilla-La Mancha,Shopping - General,1.121,29,"0,00","1,40 €","2,59 %","0,00","0,05 €","1,25 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-ene-2017,Ordenadores,Ene. 2017,Miércoles,Aragón,Shopping - General,486,6,"0,00","0,63 €","1,23 %","0,00","0,10 €","1,30 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-jul-2017,Ordenadores,Jul. 2017,Sábado,Cantabria,Shopping - General,266,4,"0,00","0,37 €","1,50 %","0,00","0,09 €","1,39 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-jun-2017,Tablets,Jun. 2017,Viernes,Navarra,Shopping - General,83,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-jul-2017,Móviles,Jul. 2017,Viernes,Islas Baleares,Shopping - General,1.302,24,"0,00","2,28 €","1,84 %","0,00","0,10 €","1,75 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-feb-2017,Tablets,Feb. 2017,Viernes,Cantabria,Shopping - General,75,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-ene-2017,Tablets,Ene. 2017,Sábado,País Vasco,Shopping - General,459,5,"0,00","0,45 €","1,09 %","0,00","0,09 €","0,98 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-feb-2017,Tablets,Feb. 2017,Miércoles,Comunidad de Madrid,Shopping - General,702,10,"0,00","0,78 €","1,42 %","0,00","0,08 €","1,11 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-feb-2017,Móviles,Feb. 2017,Viernes,Cantabria,Shopping - General,236,6,"1,00","0,56 €","2,54 %","0,00","0,09 €","2,37 €","0,09 €","0,56 €","16,67 %","44,61","24,98","24,98"
07-mar-2017,Ordenadores,Mar. 2017,Martes,Extremadura,Shopping - General,137,3,"0,00","0,03 €","2,19 %","0,00","0,01 €","0,22 €","0,01 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-abr-2017,Móviles,Abr. 2017,Sábado,País Vasco,Shopping - General,635,14,"2,00","1,20 €","2,20 %","0,00","0,09 €","1,89 €","0,09 €","0,60 €","14,29 %","23,32","27,98","13,99"
27-mar-2017,Ordenadores,Mar. 2017,Lunes,Castilla y León,Shopping - General,351,10,"0,00","0,75 €","2,85 %","0,00","0,08 €","2,14 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-jun-2017,Ordenadores,Jun. 2017,Sábado,Islas Baleares,Shopping - General,366,3,"0,00","0,51 €","0,82 %","0,00","0,17 €","1,39 €","0,17 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-jun-2017,Ordenadores,Jun. 2017,Martes,La Rioja,Shopping - General,90,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-jun-2017,Tablets,Jun. 2017,Jueves,Castilla y León,Shopping - General,262,5,"0,00","0,44 €","1,91 %","0,00","0,09 €","1,68 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-ene-2017,Ordenadores,Ene. 2017,Viernes,Aragón,Shopping - General,1.145,15,"0,00","1,94 €","1,31 %","0,00","0,13 €","1,69 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-feb-2017,Móviles,Feb. 2017,Martes,Andalucía,Shopping - General,4.589,89,"0,00","7,40 €","1,94 %","0,00","0,08 €","1,61 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-feb-2017,Móviles,Feb. 2017,Jueves,Galicia,Shopping - General,1.113,33,"0,00","4,25 €","2,96 %","0,00","0,13 €","3,82 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-abr-2017,Ordenadores,Abr. 2017,Jueves,Islas Baleares,Shopping - General,309,5,"0,00","0,52 €","1,62 %","0,00","0,10 €","1,68 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-mar-2017,Tablets,Mar. 2017,Jueves,Castilla y León,Shopping - General,319,4,"0,00","0,25 €","1,25 %","0,00","0,06 €","0,78 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-jul-2017,Ordenadores,Jul. 2017,Domingo,Extremadura,Shopping - General,254,6,"0,00","0,83 €","2,36 %","0,00","0,14 €","3,27 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-mar-2017,Ordenadores,Mar. 2017,Martes,Principado de Asturias,Shopping - General,221,7,"0,00","0,31 €","3,17 %","0,00","0,04 €","1,40 €","0,04 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-may-2017,Tablets,May. 2017,Viernes,País Vasco,Shopping - General,482,6,"0,00","0,56 €","1,24 %","0,00","0,09 €","1,16 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-feb-2017,Móviles,Feb. 2017,Sábado,Sin especificar,Shopping - General,25,1,"0,00","0,09 €","4,00 %","0,00","0,09 €","3,60 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-mar-2017,Móviles,Mar. 2017,Miércoles,Comunidad de Madrid,Shopping - General,8.486,81,"1,00","8,19 €","0,95 %","0,00","0,10 €","0,97 €","0,10 €","8,19 €","1,23 %","1,34","10,94","10,94"
11-feb-2017,Tablets,Feb. 2017,Sábado,Extremadura,Shopping - General,166,1,"0,00","0,09 €","0,60 %","0,00","0,09 €","0,54 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-ene-2017,Ordenadores,Ene. 2017,Viernes,Extremadura,Shopping - General,405,8,"0,00","0,98 €","1,98 %","0,00","0,12 €","2,42 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-mar-2017,Tablets,Mar. 2017,Martes,Castilla y León,Shopping - General,131,9,"0,00","0,54 €","6,87 %","0,00","0,06 €","4,12 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-jul-2017,Ordenadores,Jul. 2017,Viernes,Andalucía,Shopping - General,4.022,66,"2,00","6,98 €","1,64 %","0,00","0,11 €","1,74 €","0,11 €","3,49 €","3,03 %","8,44","58,92","29,46"
24-abr-2017,Móviles,Abr. 2017,Lunes,País Vasco,Shopping - General,657,6,"0,00","0,15 €","0,91 %","0,00","0,02 €","0,23 €","0,02 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-may-2017,Móviles,May. 2017,Sábado,Andalucía,Shopping - General,4.151,106,"0,00","5,74 €","2,55 %","0,00","0,05 €","1,38 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-ene-2017,Tablets,Ene. 2017,Domingo,Andalucía,Shopping - General,8.512,145,"4,00","24,20 €","1,70 %","0,00","0,17 €","2,84 €","0,17 €","6,05 €","2,76 %","8,71","210,85","52,71"
27-mar-2017,Ordenadores,Mar. 2017,Lunes,País Vasco,Shopping - General,233,7,"0,00","0,27 €","3,00 %","0,00","0,04 €","1,16 €","0,04 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-jun-2017,Tablets,Jun. 2017,Martes,País Vasco,Shopping - General,184,5,"1,00","0,39 €","2,72 %","0,00","0,08 €","2,12 €","0,08 €","0,39 €","20,00 %","35,85","13,98","13,98"
06-feb-2017,Ordenadores,Feb. 2017,Lunes,Andalucía,Shopping - General,3.797,63,"2,00","8,26 €","1,66 %","0,00","0,13 €","2,18 €","0,13 €","4,13 €","3,17 %","24,69","203,93","101,96"
27-may-2017,Ordenadores,May. 2017,Sábado,La Rioja,Shopping - General,145,1,"0,00","0,13 €","0,69 %","0,00","0,13 €","0,90 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-ene-2017,Ordenadores,Ene. 2017,Domingo,Principado de Asturias,Shopping - General,316,5,"0,00","0,52 €","1,58 %","0,00","0,10 €","1,65 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-jul-2017,Tablets,Jul. 2017,Sábado,Cataluña,Shopping - General,785,17,"0,00","1,03 €","2,17 %","0,00","0,06 €","1,31 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-feb-2017,Ordenadores,Feb. 2017,Martes,Principado de Asturias,Shopping - General,366,3,"0,00","0,30 €","0,82 %","0,00","0,10 €","0,82 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-feb-2017,Móviles,Feb. 2017,Miércoles,Galicia,Shopping - General,1.260,33,"0,00","2,87 €","2,62 %","0,00","0,09 €","2,28 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-ene-2017,Tablets,Ene. 2017,Viernes,Cantabria,Shopping - General,258,4,"0,00","0,30 €","1,55 %","0,00","0,08 €","1,16 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-feb-2017,Tablets,Feb. 2017,Sábado,Región de Murcia,Shopping - General,107,1,"0,00","0,11 €","0,93 %","0,00","0,11 €","1,03 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-ene-2017,Ordenadores,Ene. 2017,Viernes,Andalucía,Shopping - General,2.208,32,"0,00","2,55 €","1,45 %","0,00","0,08 €","1,15 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-ene-2017,Móviles,Ene. 2017,Miércoles,Aragón,Shopping - General,426,19,"0,00","1,59 €","4,46 %","0,00","0,08 €","3,73 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-ene-2017,Tablets,Ene. 2017,Miércoles,Cantabria,Shopping - General,170,2,"0,00","0,30 €","1,18 %","0,00","0,15 €","1,76 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-ene-2017,Tablets,Ene. 2017,Viernes,Cantabria,Shopping - General,67,3,"0,00","0,45 €","4,48 %","0,00","0,15 €","6,72 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-ene-2017,Tablets,Ene. 2017,Domingo,Región de Murcia,Shopping - General,337,7,"0,00","0,85 €","2,08 %","0,00","0,12 €","2,52 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-mar-2017,Móviles,Mar. 2017,Martes,Castilla-La Mancha,Shopping - General,912,20,"1,00","0,99 €","2,19 %","0,00","0,05 €","1,09 €","0,05 €","0,99 €","5,00 %","12,11","11,99","11,99"
10-ene-2017,Móviles,Ene. 2017,Martes,Aragón,Shopping - General,759,17,"0,00","1,48 €","2,24 %","0,00","0,09 €","1,95 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-mar-2017,Móviles,Mar. 2017,Domingo,Islas Baleares,Shopping - General,371,5,"0,00","0,50 €","1,35 %","0,00","0,10 €","1,35 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-mar-2017,Móviles,Mar. 2017,Viernes,Comunidad Valenciana,Shopping - General,985,9,"1,00","0,36 €","0,91 %","0,00","0,04 €","0,37 €","0,04 €","0,36 €","11,11 %","258,17","92,94","92,94"
29-abr-2017,Ordenadores,Abr. 2017,Sábado,Cataluña,Shopping - General,1.587,26,"1,00","2,13 €","1,64 %","0,00","0,08 €","1,34 €","0,08 €","2,13 €","3,85 %","29,08","61,94","61,94"
