Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
01-ene-2015,Móviles,Ene. 2015,Jueves,Islas Baleares,Shopping - General,100,3,"0,00","0,22 €","3,00 %","0,00","0,07 €","2,20 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-ene-2015,Ordenadores,Ene. 2015,Lunes,Comunidad Valenciana,Shopping - General,1.899,47,"2,00","4,72 €","2,47 %","0,00","0,10 €","2,49 €","0,10 €","2,36 €","4,26 %","40,95","193,30","96,65"
09-feb-2015,Tablets,Feb. 2015,Lunes,Aragón,Shopping - General,216,3,"0,00","0,34 €","1,39 %","0,00","0,11 €","1,57 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-feb-2015,Móviles,Feb. 2015,Sábado,Cataluña,Shopping - General,1.432,31,"1,00","3,17 €","2,16 %","0,00","0,10 €","2,21 €","0,10 €","3,17 €","3,23 %","10,63","33,69","33,69"
08-may-2015,Móviles,May. 2015,Viernes,Castilla-La Mancha,Shopping - General,233,8,"0,00","0,88 €","3,43 %","0,00","0,11 €","3,78 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-may-2015,Ordenadores,May. 2015,Martes,Aragón,Shopping - General,1.018,20,"1,00","3,97 €","1,96 %","0,00","0,20 €","3,90 €","0,20 €","3,97 €","5,00 %","52,59","208,79","208,79"
28-may-2015,Móviles,May. 2015,Jueves,Región de Murcia,Shopping - General,360,13,"0,00","1,93 €","3,61 %","0,00","0,15 €","5,36 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-jun-2015,Ordenadores,Jun. 2015,Jueves,Principado de Asturias,Shopping - General,819,27,"0,00","7,48 €","3,30 %","0,00","0,28 €","9,13 €","0,28 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-may-2015,Ordenadores,May. 2015,Jueves,Aragón,Shopping - General,1.120,25,"0,00","4,57 €","2,23 %","0,00","0,18 €","4,08 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-jun-2015,Móviles,Jun. 2015,Jueves,Principado de Asturias,Shopping - General,382,7,"0,00","1,05 €","1,83 %","0,00","0,15 €","2,75 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
31-mar-2015,Móviles,Mar. 2015,Martes,Castilla-La Mancha,Shopping - General,164,8,"0,00","0,75 €","4,88 %","0,00","0,09 €","4,57 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-may-2015,Móviles,May. 2015,Domingo,Principado de Asturias,Shopping - General,57,1,"0,00","0,14 €","1,75 %","0,00","0,14 €","2,46 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-may-2015,Móviles,May. 2015,Lunes,Cataluña,Shopping - General,1.185,45,"2,00","5,80 €","3,80 %","0,00","0,13 €","4,89 €","0,13 €","2,90 €","4,44 %","10,49","60,84","30,42"
22-may-2015,Móviles,May. 2015,Viernes,País Vasco,Shopping - General,184,10,"0,00","0,93 €","5,43 %","0,00","0,09 €","5,05 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-feb-2015,Ordenadores,Feb. 2015,Martes,Aragón,Shopping - General,740,9,"2,00","1,25 €","1,22 %","0,00","0,14 €","1,69 €","0,14 €","0,62 €","22,22 %","35,74","44,68","22,34"
12-mar-2015,Móviles,Mar. 2015,Jueves,Sin especificar,Shopping - General,149,1,"0,00","0,11 €","0,67 %","0,00","0,11 €","0,74 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-ene-2015,Ordenadores,Ene. 2015,Viernes,Comunidad de Madrid,Shopping - General,3.529,113,"3,00","15,98 €","3,20 %","0,00","0,14 €","4,53 €","0,14 €","5,33 €","2,65 %","3,23","51,57","17,19"
29-ene-2015,Ordenadores,Ene. 2015,Jueves,Navarra,Shopping - General,299,4,"0,00","0,19 €","1,34 %","0,00","0,05 €","0,64 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
17-feb-2015,Ordenadores,Feb. 2015,Martes,Aragón,Shopping - General,591,11,"0,00","1,40 €","1,86 %","0,00","0,13 €","2,37 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-jun-2015,Móviles,Jun. 2015,Lunes,Región de Murcia,Shopping - General,877,53,"0,00","8,41 €","6,04 %","0,00","0,16 €","9,59 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-may-2015,Tablets,May. 2015,Lunes,Galicia,Shopping - General,531,8,"0,00","1,80 €","1,51 %","0,00","0,22 €","3,39 €","0,22 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-may-2015,Móviles,May. 2015,Jueves,Navarra,Shopping - General,133,3,"0,00","0,51 €","2,26 %","0,00","0,17 €","3,83 €","0,17 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-mar-2015,Tablets,Mar. 2015,Lunes,Sin especificar,Shopping - General,33,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-abr-2015,Ordenadores,Abr. 2015,Martes,Comunidad de Madrid,Shopping - General,2.384,61,"1,00","8,28 €","2,56 %","0,00","0,14 €","3,47 €","0,14 €","8,28 €","1,64 %","12,07","99,95","99,95"
22-feb-2015,Ordenadores,Feb. 2015,Domingo,Comunidad de Madrid,Shopping - General,2.004,42,"0,00","5,69 €","2,10 %","0,00","0,14 €","2,84 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-ene-2015,Móviles,Ene. 2015,Viernes,Andalucía,Shopping - General,2.681,55,"0,00","6,72 €","2,05 %","0,00","0,12 €","2,51 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-abr-2015,Tablets,Abr. 2015,Lunes,Castilla-La Mancha,Shopping - General,368,5,"0,00","0,62 €","1,36 %","0,00","0,12 €","1,68 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-ene-2015,Tablets,Ene. 2015,Jueves,Castilla y León,Shopping - General,825,14,"0,00","1,45 €","1,70 %","0,00","0,10 €","1,76 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-ene-2015,Ordenadores,Ene. 2015,Miércoles,Aragón,Shopping - General,469,9,"1,00","0,71 €","1,92 %","0,00","0,08 €","1,51 €","0,08 €","0,71 €","11,11 %","19,70","13,99","13,99"
19-may-2015,Ordenadores,May. 2015,Martes,Región de Murcia,Shopping - General,674,12,"0,00","1,58 €","1,78 %","0,00","0,13 €","2,34 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-feb-2015,Tablets,Feb. 2015,Viernes,Galicia,Shopping - General,233,5,"0,00","0,72 €","2,15 %","0,00","0,14 €","3,09 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-mar-2015,Ordenadores,Mar. 2015,Lunes,Ceuta,Shopping - General,5,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-ene-2015,Ordenadores,Ene. 2015,Viernes,Galicia,Shopping - General,1.260,17,"0,00","2,02 €","1,35 %","0,00","0,12 €","1,60 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-jun-2015,Tablets,Jun. 2015,Viernes,Región de Murcia,Shopping - General,312,11,"0,00","2,17 €","3,53 %","0,00","0,20 €","6,96 €","0,20 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-ene-2015,Tablets,Ene. 2015,Viernes,Galicia,Shopping - General,338,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-feb-2015,Móviles,Feb. 2015,Sábado,Sin especificar,Shopping - General,471,14,"0,00","2,21 €","2,97 %","0,00","0,16 €","4,69 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-jun-2015,Móviles,Jun. 2015,Viernes,Galicia,Shopping - General,1.075,37,"0,00","6,96 €","3,44 %","0,00","0,19 €","6,47 €","0,19 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-may-2015,Tablets,May. 2015,Sábado,Cataluña,Shopping - General,3.252,51,"0,00","12,99 €","1,57 %","0,00","0,25 €","3,99 €","0,25 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-feb-2015,Tablets,Feb. 2015,Miércoles,Islas Baleares,Shopping - General,187,2,"0,00","0,37 €","1,07 %","0,00","0,18 €","1,98 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-mar-2015,Tablets,Mar. 2015,Domingo,Islas Baleares,Shopping - General,151,1,"0,00","0,05 €","0,66 %","0,00","0,05 €","0,33 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
01-jun-2015,Ordenadores,Jun. 2015,Lunes,Castilla-La Mancha,Shopping - General,970,34,"0,00","4,67 €","3,51 %","0,00","0,14 €","4,81 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-feb-2015,Móviles,Feb. 2015,Lunes,Cantabria,Shopping - General,107,6,"0,00","0,72 €","5,61 %","0,00","0,12 €","6,73 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-mar-2015,Ordenadores,Mar. 2015,Jueves,Comunidad de Madrid,Shopping - General,1.535,34,"0,00","3,82 €","2,21 %","0,00","0,11 €","2,49 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-may-2015,Tablets,May. 2015,Miércoles,Comunidad de Madrid,Shopping - General,1.717,24,"0,00","4,58 €","1,40 %","0,00","0,19 €","2,67 €","0,19 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-abr-2015,Móviles,Abr. 2015,Jueves,Navarra,Shopping - General,31,3,"0,00","0,31 €","9,68 %","0,00","0,10 €","10,00 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-mar-2015,Tablets,Mar. 2015,Lunes,País Vasco,Shopping - General,295,3,"0,00","0,41 €","1,02 %","0,00","0,14 €","1,39 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-abr-2015,Tablets,Abr. 2015,Sábado,País Vasco,Shopping - General,426,3,"0,00","0,34 €","0,70 %","0,00","0,11 €","0,80 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-feb-2015,Móviles,Feb. 2015,Lunes,La Rioja,Shopping - General,125,2,"0,00","0,28 €","1,60 %","0,00","0,14 €","2,24 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-may-2015,Tablets,May. 2015,Viernes,Islas Baleares,Shopping - General,168,5,"0,00","1,03 €","2,98 %","0,00","0,21 €","6,13 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-may-2015,Ordenadores,May. 2015,Sábado,Andalucía,Shopping - General,2.823,72,"1,00","11,94 €","2,55 %","0,00","0,17 €","4,23 €","0,17 €","11,94 €","1,39 %","3,51","41,94","41,94"
03-mar-2015,Ordenadores,Mar. 2015,Martes,Castilla y León,Shopping - General,513,11,"0,00","1,53 €","2,14 %","0,00","0,14 €","2,98 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-ene-2015,Ordenadores,Ene. 2015,Domingo,Galicia,Shopping - General,271,8,"1,00","0,88 €","2,95 %","0,00","0,11 €","3,25 €","0,11 €","0,88 €","12,50 %","215,85","189,95","189,95"
08-jun-2015,Tablets,Jun. 2015,Lunes,Islas Baleares,Shopping - General,663,17,"0,00","6,76 €","2,56 %","0,00","0,40 €","10,20 €","0,40 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-feb-2015,Tablets,Feb. 2015,Sábado,Aragón,Shopping - General,386,8,"0,00","1,40 €","2,07 %","0,00","0,18 €","3,63 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-feb-2015,Ordenadores,Feb. 2015,Jueves,Canarias,Shopping - General,1.933,33,"0,00","7,42 €","1,71 %","0,00","0,22 €","3,84 €","0,22 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-jun-2015,Ordenadores,Jun. 2015,Sábado,Andalucía,Shopping - General,6.859,159,"1,00","42,51 €","2,32 %","0,00","0,27 €","6,20 €","0,27 €","42,51 €","0,63 %","0,92","38,95","38,95"
21-ene-2015,Móviles,Ene. 2015,Miércoles,Navarra,Shopping - General,146,3,"0,00","0,38 €","2,05 %","0,00","0,13 €","2,60 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-jun-2015,Tablets,Jun. 2015,Martes,Extremadura,Shopping - General,213,1,"1,00","0,06 €","0,47 %","0,00","0,06 €","0,28 €","0,06 €","0,06 €","100,00 %","665,67","39,94","39,94"
18-feb-2015,Móviles,Feb. 2015,Miércoles,Principado de Asturias,Shopping - General,206,4,"0,00","0,37 €","1,94 %","0,00","0,09 €","1,80 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-jun-2015,Ordenadores,Jun. 2015,Miércoles,Región de Murcia,Shopping - General,1.618,54,"1,00","12,90 €","3,34 %","0,00","0,24 €","7,97 €","0,24 €","12,90 €","1,85 %","9,43","121,70","121,70"
19-jun-2015,Tablets,Jun. 2015,Viernes,Navarra,Shopping - General,39,1,"0,00","0,33 €","2,56 %","0,00","0,33 €","8,46 €","0,33 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-feb-2015,Móviles,Feb. 2015,Jueves,Región de Murcia,Shopping - General,102,2,"0,00","0,20 €","1,96 %","0,00","0,10 €","1,96 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-ene-2015,Ordenadores,Ene. 2015,Viernes,Cantabria,Shopping - General,225,5,"1,00","0,84 €","2,22 %","0,00","0,17 €","3,73 €","0,17 €","0,84 €","20,00 %","58,21","48,90","48,90"
12-feb-2015,Tablets,Feb. 2015,Jueves,La Rioja,Shopping - General,107,2,"0,00","0,33 €","1,87 %","0,00","0,16 €","3,08 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
