Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
06-abr-2015,Tablets,Abr. 2015,Lunes,Aragón,Shopping - General,224,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-ene-2015,Tablets,Ene. 2015,Martes,Canarias,Shopping - General,240,1,"0,00","0,10 €","0,42 %","0,00","0,10 €","0,42 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-abr-2015,Ordenadores,Abr. 2015,Miércoles,Galicia,Shopping - General,827,15,"0,00","2,02 €","1,81 %","0,00","0,13 €","2,44 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-feb-2015,Móviles,Feb. 2015,Viernes,Extremadura,Shopping - General,350,10,"0,00","1,04 €","2,86 %","0,00","0,10 €","2,97 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-feb-2015,Ordenadores,Feb. 2015,Miércoles,Castilla-La Mancha,Shopping - General,599,12,"0,00","1,45 €","2,00 %","0,00","0,12 €","2,42 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-may-2015,Ordenadores,May. 2015,Sábado,Aragón,Shopping - General,801,20,"0,00","4,47 €","2,50 %","0,00","0,22 €","5,58 €","0,22 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-jun-2015,Tablets,Jun. 2015,Martes,Castilla-La Mancha,Shopping - General,524,13,"0,00","2,88 €","2,48 %","0,00","0,22 €","5,50 €","0,22 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-feb-2015,Ordenadores,Feb. 2015,Sábado,Castilla y León,Shopping - General,859,15,"0,00","2,42 €","1,75 %","0,00","0,16 €","2,82 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-abr-2015,Ordenadores,Abr. 2015,Martes,Sin especificar,Shopping - General,143,5,"0,00","0,50 €","3,50 %","0,00","0,10 €","3,50 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-mar-2015,Móviles,Mar. 2015,Lunes,Andalucía,Shopping - General,1.160,29,"0,00","2,98 €","2,50 %","0,00","0,10 €","2,57 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-mar-2015,Tablets,Mar. 2015,Domingo,Melilla,Shopping - General,8,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-feb-2015,Tablets,Feb. 2015,Viernes,Sin especificar,Shopping - General,23,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-ene-2015,Móviles,Ene. 2015,Martes,Extremadura,Shopping - General,306,3,"0,00","0,40 €","0,98 %","0,00","0,13 €","1,31 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-may-2015,Móviles,May. 2015,Jueves,Islas Baleares,Shopping - General,184,6,"0,00","0,93 €","3,26 %","0,00","0,16 €","5,05 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-may-2015,Tablets,May. 2015,Miércoles,Andalucía,Shopping - General,1.531,25,"0,00","4,72 €","1,63 %","0,00","0,19 €","3,08 €","0,19 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-may-2015,Móviles,May. 2015,Domingo,Castilla y León,Shopping - General,495,11,"0,00","1,07 €","2,22 %","0,00","0,10 €","2,16 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-mar-2015,Ordenadores,Mar. 2015,Sábado,Extremadura,Shopping - General,162,6,"0,00","0,82 €","3,70 %","0,00","0,14 €","5,06 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-abr-2015,Tablets,Abr. 2015,Lunes,Galicia,Shopping - General,224,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-abr-2015,Ordenadores,Abr. 2015,Martes,País Vasco,Shopping - General,1.199,25,"1,00","4,70 €","2,09 %","0,00","0,19 €","3,92 €","0,19 €","4,70 €","4,00 %","4,04","18,99","18,99"
26-ene-2015,Ordenadores,Ene. 2015,Lunes,País Vasco,Shopping - General,2.507,46,"4,00","5,43 €","1,83 %","0,00","0,12 €","2,17 €","0,12 €","1,36 €","8,70 %","29,96","162,69","40,67"
12-may-2015,Móviles,May. 2015,Martes,Extremadura,Shopping - General,342,10,"0,00","1,14 €","2,92 %","0,00","0,11 €","3,33 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-jun-2015,Ordenadores,Jun. 2015,Lunes,Cataluña,Shopping - General,13.539,352,"9,00","97,14 €","2,60 %","0,00","0,28 €","7,17 €","0,28 €","10,79 €","2,56 %","3,23","314,15","34,91"
09-jun-2015,Ordenadores,Jun. 2015,Martes,Castilla-La Mancha,Shopping - General,1.862,60,"3,00","12,22 €","3,22 %","0,00","0,20 €","6,56 €","0,20 €","4,07 €","5,00 %","17,83","217,85","72,62"
02-ene-2015,Ordenadores,Ene. 2015,Viernes,Región de Murcia,Shopping - General,360,13,"0,00","1,79 €","3,61 %","0,00","0,14 €","4,97 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-abr-2015,Tablets,Abr. 2015,Martes,Islas Baleares,Shopping - General,229,3,"0,00","0,77 €","1,31 %","0,00","0,26 €","3,36 €","0,26 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-may-2015,Móviles,May. 2015,Lunes,Comunidad Valenciana,Shopping - General,730,24,"0,00","2,59 €","3,29 %","0,00","0,11 €","3,55 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-ene-2015,Tablets,Ene. 2015,Martes,Cataluña,Shopping - General,1.462,18,"1,00","2,74 €","1,23 %","0,00","0,15 €","1,87 €","0,15 €","2,74 €","5,56 %","7,64","20,94","20,94"
20-jun-2015,Ordenadores,Jun. 2015,Sábado,Aragón,Shopping - General,547,14,"0,00","2,95 €","2,56 %","0,00","0,21 €","5,39 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-feb-2015,Móviles,Feb. 2015,Lunes,Principado de Asturias,Shopping - General,342,14,"0,00","1,76 €","4,09 %","0,00","0,13 €","5,15 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-may-2015,Tablets,May. 2015,Domingo,Región de Murcia,Shopping - General,197,2,"0,00","0,42 €","1,02 %","0,00","0,21 €","2,13 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-jun-2015,Ordenadores,Jun. 2015,Martes,Extremadura,Shopping - General,636,31,"2,00","4,36 €","4,87 %","0,00","0,14 €","6,86 €","0,14 €","2,18 €","6,45 %","14,65","63,89","31,94"
22-feb-2015,Ordenadores,Feb. 2015,Domingo,Cantabria,Shopping - General,181,4,"0,00","0,68 €","2,21 %","0,00","0,17 €","3,76 €","0,17 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-jun-2015,Ordenadores,Jun. 2015,Martes,Aragón,Shopping - General,697,28,"0,00","8,40 €","4,02 %","0,00","0,30 €","12,05 €","0,30 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-abr-2015,Ordenadores,Abr. 2015,Miércoles,Cantabria,Shopping - General,124,3,"0,00","0,44 €","2,42 %","0,00","0,15 €","3,55 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-jun-2015,Móviles,Jun. 2015,Lunes,Sin especificar,Shopping - General,952,29,"0,00","4,73 €","3,05 %","0,00","0,16 €","4,97 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-jun-2015,Móviles,Jun. 2015,Miércoles,Cataluña,Shopping - General,4.620,165,"3,00","33,35 €","3,57 %","0,00","0,20 €","7,22 €","0,20 €","11,12 €","1,82 %","6,25","208,43","69,48"
05-abr-2015,Tablets,Abr. 2015,Domingo,Navarra,Shopping - General,83,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-jun-2015,Móviles,Jun. 2015,Sábado,Región de Murcia,Shopping - General,721,28,"1,00","3,58 €","3,88 %","0,00","0,13 €","4,97 €","0,13 €","3,58 €","3,57 %","17,30","61,94","61,94"
10-jun-2015,Tablets,Jun. 2015,Miércoles,Comunidad de Madrid,Shopping - General,4.038,58,"1,00","13,94 €","1,44 %","0,00","0,24 €","3,45 €","0,24 €","13,94 €","1,72 %","1,00","13,99","13,99"
22-mar-2015,Ordenadores,Mar. 2015,Domingo,Andalucía,Shopping - General,395,8,"0,00","1,01 €","2,03 %","0,00","0,13 €","2,56 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-feb-2015,Móviles,Feb. 2015,Miércoles,Sin especificar,Shopping - General,224,1,"0,00","0,11 €","0,45 %","0,00","0,11 €","0,49 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-abr-2015,Móviles,Abr. 2015,Miércoles,País Vasco,Shopping - General,114,1,"0,00","0,12 €","0,88 %","0,00","0,12 €","1,05 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-may-2015,Ordenadores,May. 2015,Lunes,Castilla-La Mancha,Shopping - General,770,21,"1,00","2,98 €","2,73 %","0,00","0,14 €","3,87 €","0,14 €","2,98 €","4,76 %","4,31","12,84","12,84"
13-ene-2015,Tablets,Ene. 2015,Martes,Melilla,Shopping - General,8,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-abr-2015,Ordenadores,Abr. 2015,Domingo,Aragón,Shopping - General,339,7,"0,00","0,84 €","2,06 %","0,00","0,12 €","2,48 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-mar-2015,Tablets,Mar. 2015,Domingo,Castilla y León,Shopping - General,105,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-abr-2015,Tablets,Abr. 2015,Viernes,Región de Murcia,Shopping - General,308,5,"0,00","1,56 €","1,62 %","0,00","0,31 €","5,06 €","0,31 €","0,00 €","0,00 %","0,00","0,00","0,00"
31-may-2015,Ordenadores,May. 2015,Domingo,Principado de Asturias,Shopping - General,413,12,"1,00","2,40 €","2,91 %","0,00","0,20 €","5,81 €","0,20 €","2,40 €","8,33 %","7,08","16,98","16,98"
27-may-2015,Móviles,May. 2015,Miércoles,Castilla-La Mancha,Shopping - General,275,12,"0,00","1,11 €","4,36 %","0,00","0,09 €","4,04 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-mar-2015,Móviles,Mar. 2015,Jueves,Canarias,Shopping - General,75,1,"0,00","0,16 €","1,33 %","0,00","0,16 €","2,13 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-jun-2015,Tablets,Jun. 2015,Viernes,Extremadura,Shopping - General,280,7,"0,00","1,50 €","2,50 %","0,00","0,21 €","5,36 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-abr-2015,Móviles,Abr. 2015,Domingo,Castilla-La Mancha,Shopping - General,260,18,"0,00","1,44 €","6,92 %","0,00","0,08 €","5,54 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-may-2015,Ordenadores,May. 2015,Miércoles,Cantabria,Shopping - General,176,6,"0,00","0,87 €","3,41 %","0,00","0,14 €","4,94 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-jun-2015,Tablets,Jun. 2015,Miércoles,Principado de Asturias,Shopping - General,204,3,"0,00","0,60 €","1,47 %","0,00","0,20 €","2,94 €","0,20 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-abr-2015,Tablets,Abr. 2015,Lunes,Sin especificar,Shopping - General,41,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-jun-2015,Móviles,Jun. 2015,Viernes,Comunidad Valenciana,Shopping - General,3.350,105,"2,00","21,09 €","3,13 %","0,00","0,20 €","6,30 €","0,20 €","10,54 €","1,90 %","46,84","987,95","493,98"
29-mar-2015,Ordenadores,Mar. 2015,Domingo,Comunidad de Madrid,Shopping - General,1.362,22,"0,00","3,09 €","1,62 %","0,00","0,14 €","2,27 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-may-2015,Tablets,May. 2015,Lunes,Islas Baleares,Shopping - General,188,3,"0,00","0,48 €","1,60 %","0,00","0,16 €","2,55 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-ene-2015,Tablets,Ene. 2015,Sábado,Extremadura,Shopping - General,254,2,"0,00","0,10 €","0,79 %","0,00","0,05 €","0,39 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-mar-2015,Ordenadores,Mar. 2015,Lunes,Castilla-La Mancha,Shopping - General,313,5,"1,00","0,73 €","1,60 %","0,00","0,15 €","2,33 €","0,15 €","0,73 €","20,00 %","1,37","1,00","1,00"
14-jun-2015,Tablets,Jun. 2015,Domingo,Islas Baleares,Shopping - General,512,16,"0,00","3,71 €","3,12 %","0,00","0,23 €","7,25 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-ene-2015,Ordenadores,Ene. 2015,Lunes,Aragón,Shopping - General,682,26,"2,00","3,03 €","3,81 %","0,00","0,12 €","4,44 €","0,12 €","1,52 €","7,69 %","6,21","18,82","9,41"
