Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
14-feb-2016,Ordenadores,Feb. 2016,Domingo,Extremadura,Shopping - General,437,9,"0,00","1,05 €","2,06 %","0,00","0,12 €","2,40 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-ene-2016,Ordenadores,Ene. 2016,Viernes,Cantabria,Shopping - General,346,9,"1,00","1,09 €","2,60 %","0,00","0,12 €","3,15 €","0,12 €","1,09 €","11,11 %","8,20","8,94","8,94"
03-mar-2016,Ordenadores,Mar. 2016,Jueves,Aragón,Shopping - General,516,11,"1,00","1,63 €","2,13 %","0,00","0,15 €","3,16 €","0,15 €","1,63 €","9,09 %","7,36","11,99","11,99"
15-mar-2016,Ordenadores,Mar. 2016,Martes,Castilla y León,Shopping - General,978,16,"1,00","1,49 €","1,64 %","0,00","0,09 €","1,52 €","0,09 €","1,49 €","6,25 %","20,77","30,94","30,94"
01-jun-2016,Tablets,Jun. 2016,Miércoles,Castilla y León,Shopping - General,1.475,23,"0,00","5,72 €","1,56 %","0,00","0,25 €","3,88 €","0,25 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-mar-2016,Tablets,Mar. 2016,Lunes,La Rioja,Shopping - General,106,2,"0,00","0,59 €","1,89 %","0,00","0,30 €","5,57 €","0,30 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-mar-2016,Ordenadores,Mar. 2016,Domingo,Extremadura,Shopping - General,226,5,"0,00","0,64 €","2,21 %","0,00","0,13 €","2,83 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-jul-2016,Tablets,Jul. 2016,Domingo,Andalucía,Shopping - General,2.239,47,"2,00","7,06 €","2,10 %","0,00","0,15 €","3,15 €","0,15 €","3,53 €","4,26 %","17,40","122,85","61,42"
14-abr-2016,Móviles,Abr. 2016,Jueves,Islas Baleares,Shopping - General,426,7,"0,00","0,51 €","1,64 %","0,00","0,07 €","1,20 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-jun-2016,Tablets,Jun. 2016,Viernes,Castilla y León,Shopping - General,565,6,"0,00","1,27 €","1,06 %","0,00","0,21 €","2,25 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-may-2016,Ordenadores,May. 2016,Miércoles,País Vasco,Shopping - General,1.767,38,"1,00","6,47 €","2,15 %","0,00","0,17 €","3,66 €","0,17 €","6,47 €","2,63 %","3,27","21,17","21,17"
29-jun-2016,Ordenadores,Jun. 2016,Miércoles,Cantabria,Shopping - General,578,11,"0,00","2,00 €","1,90 %","0,00","0,18 €","3,46 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-abr-2016,Tablets,Abr. 2016,Jueves,Comunidad de Madrid,Shopping - General,3.171,35,"1,00","5,37 €","1,10 %","0,00","0,15 €","1,69 €","0,15 €","5,37 €","2,86 %","3,71","19,94","19,94"
27-jun-2016,Ordenadores,Jun. 2016,Lunes,País Vasco,Shopping - General,1.416,27,"0,00","6,12 €","1,91 %","0,00","0,23 €","4,32 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
