Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
16-mar-2016,Móviles,Mar. 2016,Miércoles,La Rioja,Shopping - General,65,3,"0,00","0,20 €","4,62 %","0,00","0,07 €","3,08 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-jun-2016,Tablets,Jun. 2016,Lunes,Andalucía,Shopping - General,5.139,88,"0,00","15,78 €","1,71 %","0,00","0,18 €","3,07 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-mar-2016,Móviles,Mar. 2016,Lunes,Castilla-La Mancha,Shopping - General,939,16,"0,00","1,92 €","1,70 %","0,00","0,12 €","2,04 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-jun-2016,Ordenadores,Jun. 2016,Jueves,Aragón,Shopping - General,1.413,29,"2,00","5,03 €","2,05 %","0,00","0,17 €","3,56 €","0,17 €","2,52 €","6,90 %","28,53","143,53","71,76"
11-may-2016,Móviles,May. 2016,Miércoles,Islas Baleares,Shopping - General,941,17,"0,00","1,84 €","1,81 %","0,00","0,11 €","1,96 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-jun-2016,Ordenadores,Jun. 2016,Jueves,Principado de Asturias,Shopping - General,576,19,"0,00","2,63 €","3,30 %","0,00","0,14 €","4,57 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-mar-2016,Tablets,Mar. 2016,Domingo,Castilla y León,Shopping - General,881,15,"1,00","2,62 €","1,70 %","0,00","0,17 €","2,97 €","0,17 €","2,62 €","6,67 %","17,90","46,89","46,89"
22-jun-2016,Tablets,Jun. 2016,Miércoles,País Vasco,Shopping - General,619,6,"0,00","0,63 €","0,97 %","0,00","0,10 €","1,02 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-mar-2016,Ordenadores,Mar. 2016,Jueves,Navarra,Shopping - General,248,2,"0,00","0,62 €","0,81 %","0,00","0,31 €","2,50 €","0,31 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-mar-2016,Móviles,Mar. 2016,Lunes,Islas Baleares,Shopping - General,356,12,"0,00","1,92 €","3,37 %","0,00","0,16 €","5,39 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-ene-2016,Ordenadores,Ene. 2016,Lunes,Cataluña,Shopping - General,7.046,163,"1,00","25,57 €","2,31 %","0,00","0,16 €","3,63 €","0,16 €","25,32 €","0,62 %","0,39","9,94","9,94"
05-jun-2016,Ordenadores,Jun. 2016,Domingo,La Rioja,Shopping - General,210,1,"0,00","0,13 €","0,48 %","0,00","0,13 €","0,62 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-abr-2016,Tablets,Abr. 2016,Lunes,Sin especificar,Shopping - General,25,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-ene-2016,Tablets,Ene. 2016,Domingo,Castilla-La Mancha,Shopping - General,652,15,"1,00","2,69 €","2,30 %","0,00","0,18 €","4,13 €","0,18 €","2,69 €","6,67 %","7,04","18,94","18,94"
13-jul-2016,Tablets,Jul. 2016,Miércoles,Andalucía,Shopping - General,3.146,50,"0,00","11,56 €","1,59 %","0,00","0,23 €","3,67 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-mar-2016,Móviles,Mar. 2016,Martes,Principado de Asturias,Shopping - General,500,10,"0,00","1,07 €","2,00 %","0,00","0,11 €","2,14 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-jul-2016,Ordenadores,Jul. 2016,Sábado,Sin especificar,Shopping - General,14,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-jun-2016,Móviles,Jun. 2016,Sábado,Cataluña,Shopping - General,4.410,93,"0,00","8,78 €","2,11 %","0,00","0,09 €","1,99 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-jul-2016,Móviles,Jul. 2016,Martes,Sin especificar,Shopping - General,191,3,"0,00","0,26 €","1,57 %","0,00","0,09 €","1,36 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-abr-2016,Móviles,Abr. 2016,Miércoles,País Vasco,Shopping - General,1.536,17,"0,00","2,01 €","1,11 %","0,00","0,12 €","1,31 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-may-2016,Tablets,May. 2016,Miércoles,Islas Baleares,Shopping - General,287,3,"0,00","0,18 €","1,05 %","0,00","0,06 €","0,63 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-mar-2016,Móviles,Mar. 2016,Martes,País Vasco,Shopping - General,1.045,11,"0,00","1,74 €","1,05 %","0,00","0,16 €","1,67 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-ene-2016,Móviles,Ene. 2016,Lunes,Comunidad Valenciana,Shopping - General,2.844,55,"0,00","5,52 €","1,93 %","0,00","0,10 €","1,94 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-jul-2016,Tablets,Jul. 2016,Martes,Sin especificar,Shopping - General,19,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-may-2016,Móviles,May. 2016,Lunes,Sin especificar,Shopping - General,499,12,"0,00","1,21 €","2,40 %","0,00","0,10 €","2,42 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-ene-2016,Móviles,Ene. 2016,Domingo,País Vasco,Shopping - General,2.225,56,"1,00","6,25 €","2,52 %","0,00","0,11 €","2,81 €","0,11 €","6,25 €","1,79 %","4,31","26,94","26,94"
09-ene-2016,Tablets,Ene. 2016,Sábado,Navarra,Shopping - General,377,3,"0,00","0,61 €","0,80 %","0,00","0,20 €","1,62 €","0,20 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-jun-2016,Tablets,Jun. 2016,Domingo,Aragón,Shopping - General,1.074,15,"3,00","3,28 €","1,40 %","0,00","0,22 €","3,05 €","0,22 €","1,09 €","20,00 %","5,43","17,82","5,94"
09-may-2016,Tablets,May. 2016,Lunes,Comunidad Valenciana,Shopping - General,954,15,"0,00","1,21 €","1,57 %","0,00","0,08 €","1,27 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-jun-2016,Móviles,Jun. 2016,Domingo,Comunidad Valenciana,Shopping - General,3.540,65,"0,00","6,39 €","1,84 %","0,00","0,10 €","1,81 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-abr-2016,Móviles,Abr. 2016,Viernes,Navarra,Shopping - General,127,1,"0,00","0,08 €","0,79 %","0,00","0,08 €","0,63 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-may-2016,Tablets,May. 2016,Martes,Navarra,Shopping - General,287,4,"0,00","0,87 €","1,39 %","0,00","0,22 €","3,03 €","0,22 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-may-2016,Tablets,May. 2016,Sábado,Navarra,Shopping - General,433,4,"0,00","0,57 €","0,92 %","0,00","0,14 €","1,32 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
17-mar-2016,Ordenadores,Mar. 2016,Jueves,Castilla-La Mancha,Shopping - General,710,14,"1,00","2,72 €","1,97 %","0,00","0,19 €","3,83 €","0,19 €","2,72 €","7,14 %","8,06","21,93","21,93"
20-ene-2016,Móviles,Ene. 2016,Miércoles,País Vasco,Shopping - General,1.747,41,"0,00","4,94 €","2,35 %","0,00","0,12 €","2,83 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-jul-2016,Móviles,Jul. 2016,Miércoles,Galicia,Shopping - General,993,18,"0,00","1,71 €","1,81 %","0,00","0,10 €","1,72 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-jun-2016,Ordenadores,Jun. 2016,Miércoles,Sin especificar,Shopping - General,216,1,"0,00","0,01 €","0,46 %","0,00","0,01 €","0,05 €","0,01 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-jun-2016,Tablets,Jun. 2016,Jueves,Andalucía,Shopping - General,4.389,65,"0,00","21,54 €","1,48 %","0,00","0,33 €","4,91 €","0,33 €","0,00 €","0,00 %","0,00","0,00","0,00"
06-jul-2016,Móviles,Jul. 2016,Miércoles,Islas Baleares,Shopping - General,600,6,"0,00","1,18 €","1,00 %","0,00","0,20 €","1,97 €","0,20 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-ene-2016,Ordenadores,Ene. 2016,Viernes,Cantabria,Shopping - General,305,8,"1,00","1,37 €","2,62 %","0,00","0,17 €","4,49 €","0,17 €","1,37 €","12,50 %","13,86","18,99","18,99"
23-jun-2016,Móviles,Jun. 2016,Jueves,Navarra,Shopping - General,334,7,"0,00","0,38 €","2,10 %","0,00","0,05 €","1,14 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-feb-2016,Móviles,Feb. 2016,Viernes,Aragón,Shopping - General,564,11,"0,00","2,05 €","1,95 %","0,00","0,19 €","3,63 €","0,19 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-may-2016,Tablets,May. 2016,Lunes,País Vasco,Shopping - General,477,3,"0,00","0,42 €","0,63 %","0,00","0,14 €","0,88 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-jun-2016,Tablets,Jun. 2016,Viernes,Islas Baleares,Shopping - General,438,6,"0,00","1,24 €","1,37 %","0,00","0,21 €","2,83 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-mar-2016,Móviles,Mar. 2016,Viernes,Cataluña,Shopping - General,2.815,51,"0,00","6,85 €","1,81 %","0,00","0,13 €","2,43 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-abr-2016,Tablets,Abr. 2016,Sábado,Comunidad Valenciana,Shopping - General,1.539,18,"0,00","1,52 €","1,17 %","0,00","0,08 €","0,99 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-feb-2016,Tablets,Feb. 2016,Sábado,Región de Murcia,Shopping - General,439,6,"0,00","0,68 €","1,37 %","0,00","0,11 €","1,55 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-feb-2016,Móviles,Feb. 2016,Domingo,Región de Murcia,Shopping - General,655,14,"0,00","1,33 €","2,14 %","0,00","0,10 €","2,03 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-feb-2016,Ordenadores,Feb. 2016,Jueves,Principado de Asturias,Shopping - General,698,12,"0,00","1,68 €","1,72 %","0,00","0,14 €","2,41 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-mar-2016,Ordenadores,Mar. 2016,Miércoles,Principado de Asturias,Shopping - General,454,9,"0,00","1,30 €","1,98 %","0,00","0,14 €","2,86 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-mar-2016,Ordenadores,Mar. 2016,Lunes,Castilla-La Mancha,Shopping - General,759,20,"0,00","3,19 €","2,64 %","0,00","0,16 €","4,20 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-abr-2016,Ordenadores,Abr. 2016,Viernes,Castilla y León,Shopping - General,946,23,"0,00","2,35 €","2,43 %","0,00","0,10 €","2,48 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-abr-2016,Tablets,Abr. 2016,Sábado,Islas Baleares,Shopping - General,389,5,"0,00","0,52 €","1,29 %","0,00","0,10 €","1,34 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-jun-2016,Móviles,Jun. 2016,Miércoles,Comunidad Valenciana,Shopping - General,1.765,35,"0,00","4,54 €","1,98 %","0,00","0,13 €","2,57 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-mar-2016,Móviles,Mar. 2016,Jueves,Comunidad Valenciana,Shopping - General,1.887,41,"0,00","5,26 €","2,17 %","0,00","0,13 €","2,79 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-mar-2016,Móviles,Mar. 2016,Domingo,Extremadura,Shopping - General,738,12,"0,00","1,67 €","1,63 %","0,00","0,14 €","2,26 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-ene-2016,Móviles,Ene. 2016,Jueves,Comunidad de Madrid,Shopping - General,8.105,248,"1,00","28,13 €","3,06 %","0,00","0,11 €","3,47 €","0,11 €","28,13 €","0,40 %","0,78","21,89","21,89"
05-jun-2016,Móviles,Jun. 2016,Domingo,País Vasco,Shopping - General,1.163,17,"0,00","1,23 €","1,46 %","0,00","0,07 €","1,06 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-jun-2016,Móviles,Jun. 2016,Lunes,Comunidad de Madrid,Shopping - General,2.326,49,"0,00","3,68 €","2,11 %","0,00","0,08 €","1,58 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-abr-2016,Ordenadores,Abr. 2016,Sábado,Castilla-La Mancha,Shopping - General,739,18,"0,00","2,16 €","2,44 %","0,00","0,12 €","2,92 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-feb-2016,Tablets,Feb. 2016,Viernes,Principado de Asturias,Shopping - General,364,6,"0,00","0,86 €","1,65 %","0,00","0,14 €","2,36 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-mar-2016,Ordenadores,Mar. 2016,Jueves,Islas Baleares,Shopping - General,407,6,"0,00","1,36 €","1,47 %","0,00","0,23 €","3,34 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-may-2016,Ordenadores,May. 2016,Sábado,Navarra,Shopping - General,331,9,"0,00","1,64 €","2,72 %","0,00","0,18 €","4,95 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
14-jun-2016,Móviles,Jun. 2016,Martes,Andalucía,Shopping - General,5.990,149,"1,00","17,25 €","2,49 %","0,00","0,12 €","2,88 €","0,12 €","17,25 €","0,67 %","0,58","9,94","9,94"
18-jul-2016,Ordenadores,Jul. 2016,Lunes,Sin especificar,Shopping - General,0,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-feb-2016,Ordenadores,Feb. 2016,Sábado,Principado de Asturias,Shopping - General,522,6,"0,00","0,97 €","1,15 %","0,00","0,16 €","1,86 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
25-feb-2016,Móviles,Feb. 2016,Jueves,Castilla-La Mancha,Shopping - General,710,12,"0,00","1,93 €","1,69 %","0,00","0,16 €","2,72 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-ene-2016,Tablets,Ene. 2016,Jueves,Castilla y León,Shopping - General,1.082,21,"1,00","3,11 €","1,94 %","0,00","0,15 €","2,87 €","0,15 €","3,11 €","4,76 %","12,20","37,94","37,94"
23-abr-2016,Móviles,Abr. 2016,Sábado,Islas Baleares,Shopping - General,751,20,"0,00","3,42 €","2,66 %","0,00","0,17 €","4,55 €","0,17 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-jun-2016,Ordenadores,Jun. 2016,Viernes,Cantabria,Shopping - General,665,13,"0,00","1,47 €","1,95 %","0,00","0,11 €","2,21 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-jul-2016,Tablets,Jul. 2016,Sábado,La Rioja,Shopping - General,75,1,"0,00","0,23 €","1,33 %","0,00","0,23 €","3,07 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-mar-2016,Ordenadores,Mar. 2016,Sábado,Castilla-La Mancha,Shopping - General,514,13,"0,00","1,81 €","2,53 %","0,00","0,14 €","3,52 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-jun-2016,Ordenadores,Jun. 2016,Lunes,Galicia,Shopping - General,2.852,49,"3,00","10,92 €","1,72 %","0,00","0,22 €","3,83 €","0,22 €","3,64 €","6,12 %","7,13","77,87","25,96"
10-feb-2016,Ordenadores,Feb. 2016,Miércoles,La Rioja,Shopping - General,147,1,"0,00","0,08 €","0,68 %","0,00","0,08 €","0,54 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
09-feb-2016,Ordenadores,Feb. 2016,Martes,Galicia,Shopping - General,1.383,24,"1,00","4,73 €","1,74 %","0,00","0,20 €","3,42 €","0,20 €","4,73 €","4,17 %","8,01","37,89","37,89"
20-feb-2016,Ordenadores,Feb. 2016,Sábado,Galicia,Shopping - General,607,10,"0,00","1,40 €","1,65 %","0,00","0,14 €","2,31 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
27-abr-2016,Ordenadores,Abr. 2016,Miércoles,Principado de Asturias,Shopping - General,190,6,"0,00","0,37 €","3,16 %","0,00","0,06 €","1,95 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-abr-2016,Tablets,Abr. 2016,Domingo,La Rioja,Shopping - General,128,1,"0,00","0,18 €","0,78 %","0,00","0,18 €","1,41 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-jun-2016,Tablets,Jun. 2016,Martes,Cataluña,Shopping - General,1.886,25,"0,00","3,40 €","1,33 %","0,00","0,14 €","1,80 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
17-feb-2016,Tablets,Feb. 2016,Miércoles,País Vasco,Shopping - General,498,4,"0,00","0,40 €","0,80 %","0,00","0,10 €","0,80 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
21-jun-2016,Móviles,Jun. 2016,Martes,La Rioja,Shopping - General,156,9,"0,00","1,22 €","5,77 %","0,00","0,14 €","7,82 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-abr-2016,Ordenadores,Abr. 2016,Viernes,Extremadura,Shopping - General,280,4,"0,00","0,50 €","1,43 %","0,00","0,12 €","1,79 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-may-2016,Ordenadores,May. 2016,Sábado,Aragón,Shopping - General,58,1,"0,00","0,10 €","1,72 %","0,00","0,10 €","1,72 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-may-2016,Tablets,May. 2016,Domingo,Región de Murcia,Shopping - General,683,7,"0,00","1,13 €","1,02 %","0,00","0,16 €","1,65 €","0,16 €","0,00 €","0,00 %","0,00","0,00","0,00"
03-abr-2016,Ordenadores,Abr. 2016,Domingo,Cataluña,Shopping - General,2.956,47,"0,00","6,65 €","1,59 %","0,00","0,14 €","2,25 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
30-jun-2016,Tablets,Jun. 2016,Jueves,Región de Murcia,Shopping - General,337,8,"1,00","1,92 €","2,37 %","0,00","0,24 €","5,70 €","0,24 €","1,92 €","12,50 %","23,90","45,89","45,89"
14-abr-2016,Móviles,Abr. 2016,Jueves,Andalucía,Shopping - General,6.186,115,"1,00","12,66 €","1,86 %","0,00","0,11 €","2,05 €","0,11 €","12,66 €","0,87 %","2,13","26,98","26,98"
22-ene-2016,Móviles,Ene. 2016,Viernes,Islas Baleares,Shopping - General,470,10,"0,00","1,23 €","2,13 %","0,00","0,12 €","2,62 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-abr-2016,Ordenadores,Abr. 2016,Jueves,Cantabria,Shopping - General,325,8,"0,00","1,47 €","2,46 %","0,00","0,18 €","4,52 €","0,18 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-jun-2016,Ordenadores,Jun. 2016,Jueves,La Rioja,Shopping - General,237,2,"0,00","0,40 €","0,84 %","0,00","0,20 €","1,69 €","0,20 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-mar-2016,Ordenadores,Mar. 2016,Sábado,Aragón,Shopping - General,345,7,"0,00","1,42 €","2,03 %","0,00","0,20 €","4,12 €","0,20 €","0,00 €","0,00 %","0,00","0,00","0,00"
02-jun-2016,Móviles,Jun. 2016,Jueves,Galicia,Shopping - General,1.135,19,"0,00","1,98 €","1,67 %","0,00","0,10 €","1,74 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-feb-2016,Ordenadores,Feb. 2016,Lunes,Islas Baleares,Shopping - General,402,6,"0,00","1,04 €","1,49 %","0,00","0,17 €","2,59 €","0,17 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-may-2016,Móviles,May. 2016,Martes,Comunidad de Madrid,Shopping - General,4.470,103,"0,00","7,01 €","2,30 %","0,00","0,07 €","1,57 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-may-2016,Ordenadores,May. 2016,Viernes,Cataluña,Shopping - General,5.394,106,"4,00","20,03 €","1,97 %","0,00","0,19 €","3,71 €","0,19 €","5,01 €","3,77 %","19,01","380,72","95,18"
16-may-2016,Tablets,May. 2016,Lunes,Cataluña,Shopping - General,3.882,66,"2,00","10,82 €","1,70 %","0,00","0,16 €","2,79 €","0,16 €","5,41 €","3,03 %","7,66","82,87","41,44"
02-mar-2016,Tablets,Mar. 2016,Miércoles,Sin especificar,Shopping - General,38,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
11-jun-2016,Tablets,Jun. 2016,Sábado,País Vasco,Shopping - General,1.350,16,"0,00","3,61 €","1,19 %","0,00","0,23 €","2,67 €","0,23 €","0,00 €","0,00 %","0,00","0,00","0,00"
20-may-2016,Tablets,May. 2016,Viernes,Andalucía,Shopping - General,3.303,44,"0,00","9,10 €","1,33 %","0,00","0,21 €","2,76 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-abr-2016,Tablets,Abr. 2016,Viernes,Aragón,Shopping - General,279,2,"0,00","0,27 €","0,72 %","0,00","0,14 €","0,97 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-may-2016,Ordenadores,May. 2016,Lunes,Principado de Asturias,Shopping - General,848,16,"0,00","1,82 €","1,89 %","0,00","0,11 €","2,15 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-jul-2016,Tablets,Jul. 2016,Miércoles,Castilla-La Mancha,Shopping - General,1.114,11,"0,00","1,68 €","0,99 %","0,00","0,15 €","1,51 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
12-may-2016,Tablets,May. 2016,Jueves,Galicia,Shopping - General,687,3,"0,00","0,40 €","0,44 %","0,00","0,13 €","0,58 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-ene-2016,Tablets,Ene. 2016,Sábado,Castilla y León,Shopping - General,1.241,20,"0,00","2,56 €","1,61 %","0,00","0,13 €","2,06 €","0,13 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-jul-2016,Móviles,Jul. 2016,Viernes,Castilla y León,Shopping - General,1.153,20,"0,00","2,45 €","1,73 %","0,00","0,12 €","2,12 €","0,12 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-may-2016,Móviles,May. 2016,Jueves,Castilla y León,Shopping - General,1.254,25,"0,00","2,75 €","1,99 %","0,00","0,11 €","2,19 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
31-ene-2016,Ordenadores,Ene. 2016,Domingo,País Vasco,Shopping - General,2.375,47,"4,00","7,02 €","1,98 %","0,00","0,15 €","2,96 €","0,15 €","1,76 €","8,51 %","9,77","68,56","17,14"
24-feb-2016,Ordenadores,Feb. 2016,Miércoles,Extremadura,Shopping - General,486,9,"0,00","0,88 €","1,85 %","0,00","0,10 €","1,81 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-abr-2016,Tablets,Abr. 2016,Martes,Comunidad Valenciana,Shopping - General,1.905,23,"0,00","3,18 €","1,21 %","0,00","0,14 €","1,67 €","0,14 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-mar-2016,Tablets,Mar. 2016,Martes,Islas Baleares,Shopping - General,280,2,"0,00","0,47 €","0,71 %","0,00","0,24 €","1,68 €","0,24 €","0,00 €","0,00 %","0,00","0,00","0,00"
28-mar-2016,Tablets,Mar. 2016,Lunes,Cantabria,Shopping - General,190,1,"1,00","0,20 €","0,53 %","0,00","0,20 €","1,05 €","0,20 €","0,20 €","100,00 %","234,75","46,95","46,95"
